id;region;municipality;settlement;type;population;children;latitude_dms;longitude_dms;latitude_dd;longitude_dd;oktmo;dadata;rosstat
138623;Кировская область;Опаринский район;Заря;п;697;111;60.00.29;048.01.35;60.0080555555556;48.0263888888889;33629414101;0;1
138625;Ставропольский край;Грачёвский район;Сергиевское;с;2500;484;44.57.19;042.42.33;44.9552777777778;42.7091666666667;7617413101;0;1
138626;Тамбовская область;Моршанский район;Питерское;с;637;97;53.21.31;041.45.30;53.3586111111111;41.7583333333333;68616432111;0;1
138629;Краснодарский край;Северский район;Октябрьский;п;1832;425;44.50.56;038.28.27;44.8488888888889;38.4741666666667;3643158126;0;1
138641;Республика Дагестан;Карабудахкентский район;Аданак;с;1604;554;42.45.15;047.27.19;42.7541666666667;47.4552777777778;82635405000;0;1
138648;Нижегородская область;Дивеевский район;Елизарьево;с;761;102;55.03.50;043.20.04;55.0638888888889;43.3344444444444;22632420101;0;1
138659;Воронежская область;Лискинский район;Копанище;с;880;148;51.00.17;039.19.26;51.0047222222222;39.3238888888889;20621428101;0;1
138667;Тюменская область;Заводоуковский район;Лебедевка;п;1374;337;56.47.24;066.57.24;56.79;66.9566666666667;71703000181;0;1
138676;Ростовская область;Боковский;Краснозоринский;п;537;52;49.16.14;041.31.58;49.2705555555556;41.5327777777778;60607448101;0;1
138682;Рязанская область;Рязанский район;Листвянка;п;2279;432;54.30.27;039.57.28;54.5075;39.9577777777778;61634457101;0;1
138688;Краснодарский край;Новокубанский район;Марьинский;х;722;173;45.03.29;040.53.31;45.0580555555556;40.8919444444444;3634403146;0;1
138694;Иркутская область;Иркутский район;Черемушка;д;568;110;52.38.30;104.34.02;52.6416666666667;104.567222222222;25612419116;0;1
138702;Орловская область;Орловский;Куликовский;п;1035;172;52.56.40;036.08.14;52.9444444444444;36.1372222222222;54647402101;0;1
138705;Кировская область;Кумёнский район;Вожгалы;с;844;158;58.09.04;050.11.13;58.1511111111111;50.1869444444444;33620421101;0;1
138710;Саратовская область;Краснокутский район;Усатово;с;815;255;50.47.09;046.54.14;50.7858333333333;46.9038888888889;63623457101;0;1
138722;Республика Татарстан;Нижнекамский район;Большое Афанасово;с;3322;539;55.36.00;051.46.32;55.6;51.7755555555556;92644405101;0;1
138727;Республика Крым;Ленинский район;Багерово;пгт;4315;0;45.22.46;036.17.45;45.3794444444444;36.2958333333333;35627401101;1;0
138734;Брянская область;Брянский район;Глинищево;с;4193;1191;53.18.12;034.04.07;53.3033333333333;34.0686111111111;15608404101;0;1
138749;Саратовская область;Балтайский район;Царевщина;с;1475;250;52.26.20;046.43.05;52.4388888888889;46.7180555555556;63609490101;0;1
138760;Саратовская область;Татищевский район;Вязовка;с;2480;425;51.48.32;045.46.58;51.8088888888889;45.7827777777778;63646405101;0;1
138775;Амурская область;Ивановский;Черемхово;с;827;214;50.23.26;127.47.42;50.3905555555556;127.795;10628448101;0;1
138776;Чеченская республика;Наурский муниципальный район;Наурская;ст-ца;9638;2946;43.39.00;045.18.34;43.65;45.3094444444444;96622416101;0;1
138781;Ростовская область;Мартыновский;Малоорловский;х;1105;397;47.17.29;041.23.28;47.2913888888889;41.3911111111111;60630434101;0;1
138785;Амурская область;Белогорский;Никольское;с;1424;325;50.55.27;128.17.25;50.9241666666667;128.290277777778;10608432101;0;1
138797;Кемеровская область;Яшкинский район;Поломошное;с;1648;395;55.44.27;084.57.46;55.7408333333333;84.9627777777778;32546000351;0;1
138803;Ростовская область;Каменский;Данилов;х;508;88;48.29.45;040.48.56;48.4958333333333;40.8155555555556;60623460111;0;1
138813;Рязанская область;Михайловский район;Октябрьский;рп;5302;822;54.14.01;038.53.29;54.2336111111111;38.8913888888889;61617154051;0;1
138817;Красноярский край;Казачинский район;Момотово;с;734;151;57.37.43;093.19.13;57.6286111111111;93.3202777777778;4620422101;0;1
138821;Ивановская область;Пестяковский район;Пестяки;п;3478;550;56.42.25;042.40.39;56.7069444444444;42.6775;24619151051;0;1
138822;Республика Татарстан;Агрызский район;Сарсак-Омга;с;589;136;56.18.41;052.49.50;56.3113888888889;52.8305555555556;92601472101;0;1
138846;Ростовская область;Миллеровский;Нижненагольная;сл;725;147;48.59.54;039.57.19;48.9983333333333;39.9552777777778;60632405131;1;0
138860;Республика Бурятия;Окинский район;Орлик;с;2754;1013;52.30.35;099.49.17;52.5097222222222;99.8213888888889;81639422101;0;1
138864;Краснодарский край;Новокубанский район;Советская;ст-ца;9758;1888;44.46.27;041.10.27;44.7741666666667;41.1741666666667;3634431101;0;1
138866;Рязанская область;Милославский район;Центральный;рп;2201;171;53.40.37;039.37.36;53.6769444444444;39.6266666666667;61615160051;0;1
138882;Сахалинская область;городской округ Смирныховский;Первомайск;с;729;190;49.57.56;143.16.12;49.9655555555556;143.27;64746000141;0;1
138888;Воронежская область;Ольховатский район;Ольховатка;рп;3323;613;50.16.57;039.17.28;50.2825;39.2911111111111;20629151051;0;1
138899;Республика Крым;Нижнегорский район;Зеленое;с;941;0;45.27.59;034.43.59;45.4663888888889;34.7330555555556;35631401106;0;1
138905;Саратовская область;Пугачёвский район;Заволжский;п;1798;283;51.55.07;048.30.38;51.9186111111111;48.5105555555556;63637423101;0;1
138911;Кировская область;Нолинский район;Нолинск;г;9644;2082;57.33.35;049.56.09;57.5597222222222;49.9358333333333;33627101001;0;1
138929;Забайкальский край;Карымский район;Нарын-Талача;с;635;81;51.55.46;114.51.45;51.9294444444444;114.8625;76620440101;0;1
138930;Ставропольский край;Андроповский район;Воровсколесская;ст-ца;2500;395;44.22.37;042.24.28;44.3769444444444;42.4077777777778;7632404000;0;1
138931;Белгородская область;Новооскольский район;Новый Оскол;г;18932;4148;50.45.38;037.51.53;50.7605555555556;37.8647222222222;14735000001;0;1
138936;Новосибирская область;Искитимский район;Евсино;д;505;154;54.25.00;083.19.24;54.4166666666667;83.3233333333333;50615413101;0;1
138944;Пензенская область;Пензенский район;Ермоловка;с;2194;417;53.09.49;044.30.48;53.1636111111111;44.5133333333333;56655427101;0;1
138945;Забайкальский край;Приаргунский район;Староцурухайтуй;с;941;267;50.11.53;119.19.36;50.1980555555556;119.326666666667;76638471101;0;1
138948;Саратовская область;Аркадакский район;Ольшанка;с;1012;132;51.51.31;043.29.05;51.8586111111111;43.4847222222222;63603465111;0;1
138956;Республика Татарстан;Буинский район;Буинск;г;44596;8986;54.57.51;048.17.25;54.9641666666667;48.2902777777778;92618101001;0;1
138970;Краснодарский край;Кореновский район;Бабиче-Кореновский;х;1020;192;45.32.54;039.19.41;45.5483333333333;39.3280555555556;3621422101;0;1
138975;Ростовская область;Зимовниковский;Зимовники;п;17566;4850;47.08.43;042.28.04;47.1452777777778;42.4677777777778;60619417101;0;1
138985;Вологодская область;Устюженский район;Устюжна;г;8712;1770;58.50.18;036.26.33;58.8383333333333;36.4425;19650101001;0;1
139008;Республика Тыва;Чаа-Хольский кожуун;Ак-Дуруг;с;1372;516;51.23.46;092.11.52;51.3961111111111;92.1977777777778;93656405101;0;1
139019;Сахалинская область;Тымовский городской округ;Воскресеновка;с;672;172;50.54.07;142.40.26;50.9019444444444;142.673888888889;64750000126;0;1
139033;Пермский край;Ильинский район;Ильинский;п;6378;1535;58.34.14;055.41.57;58.5705555555556;55.6991666666667;57759000101;0;1
139044;Забайкальский край;Ононский район;Новая Заря;с;698;208;50.21.44;115.33.11;50.3622222222222;115.553055555556;76634430101;0;1
139061;Чувашская республика;Урмарский район;Чубаево;д;614;124;55.40.20;047.51.59;55.6722222222222;47.8663888888889;97638455101;0;1
139062;Орловская область;Кромской;Вожово;с;1122;180;52.40.40;035.48.07;52.6777777777778;35.8019444444444;54625407106;0;1
139064;Ленинградская область;Выборгский муниципальный район;Ермилово;п;1075;132;60.21.28;028.45.47;60.3577777777778;28.7630555555556;41615108116;0;1
139066;Астраханская область;Приволжский район;Татарская Башмаковка;с;2661;454;46.15.04;047.58.40;46.2511111111111;47.9777777777778;12642460101;0;1
139075;Брянская область;Трубчевский район;Телец;д;828;204;52.34.10;033.44.44;52.5694444444444;33.7455555555556;15656452101;0;1
139081;Рязанская область;Пронский район;Тырново;с;892;169;54.16.47;039.35.03;54.2797222222222;39.5841666666667;61625405101;0;1
139101;Воронежская область;Терновский район;Костино-Отделец;с;1096;139;51.31.58;041.27.22;51.5327777777778;41.4561111111111;20654428101;0;1
139104;Саратовская область;Лысогорский район;Бутырки;с;930;236;51.31.06;044.48.57;51.5183333333333;44.8158333333333;63625420101;0;1
139105;Саратовская область;Татищевский район;Сторожевка;с;3440;667;51.38.57;045.48.55;51.6491666666667;45.8152777777778;63646457101;0;1
139106;Ростовская область;Азовский;Александровка;с;4861;1075;46.47.14;038.58.53;46.7872222222222;38.9813888888889;60601405101;0;1
139107;Костромская область;Октябрьский район;Боговарово;с;2128;489;58.58.34;047.01.16;58.9761111111111;47.0211111111111;34628416101;1;0
139109;Свердловская область;муниципальное образование Красноуфимский округ;Средний Бугалыш;с;865;161;56.17.50;057.59.38;56.2972222222222;57.9938888888889;65713000421;0;1
139136;Ростовская область;Азовский;Гусарева Балка;х;613;109;46.49.38;039.32.20;46.8272222222222;39.5388888888889;60601435101;0;1
139157;Приморский край;Артёмовский;Олений;с;736;100;43.21.07;132.17.45;43.3519444444444;132.295833333333;5705000116;0;1
139158;Архангельская область;Плесецкий муниципальный район;Плесецк;рп;10630;2436;62.42.38;040.17.26;62.7105555555556;40.2905555555556;11650151051;0;1
139163;Кемеровская область;Прокопьевский;Октябрьский;п;514;140;54.15.49;086.46.55;54.2636111111111;86.7819444444444;32522000261;0;1
139165;Республика Хакасия;Боградский район;Сарагаш;с;793;157;54.46.29;090.44.43;54.7747222222222;90.7452777777778;95615450101;0;1
139178;Оренбургская область;Бугурусланский район;Благодаровка;с;748;168;53.39.36;052.23.56;53.66;52.3988888888889;53611407101;1;0
139192;Московская область;Красногорский;Красногорск;г;116896;21429;55.49.55;037.19.46;55.8319444444444;37.3294444444444;46744000001;1;0
139200;Тульская область;Город Новомосковск;Спасское;с;1849;351;54.04.56;038.28.07;54.0822222222222;38.4686111111111;70724000516;0;1
139209;Вологодская область;Харовский район;Семигородняя;ст;937;123;59.48.46;040.10.26;59.8127777777778;40.1738888888889;19652432101;1;0
139227;Оренбургская область;Соль-Илецкий городской округ;Соль-Илецк;г;25975;6558;51.09.43;054.58.49;51.1619444444444;54.9802777777778;53725000001;0;1
139228;Пензенская область;Вадинский район;Вадинск;с;4368;869;53.41.21;043.02.40;53.6891666666667;43.0444444444444;56615404101;0;1
139244;Нижегородская область;Кстовский район;Крутая;д;1582;130;56.12.07;044.05.10;56.2019444444444;44.0861111111111;22637416111;0;1
139250;Московская область;Орехово-Зуевский;Куровское;г;21819;4327;55.34.45;038.55.15;55.5791666666667;38.9208333333333;46757000011;0;1
139252;Чувашская республика;Шемуршинский район;Асаново;д;520;118;54.45.47;047.20.57;54.7630555555556;47.3491666666667;97647410106;0;1
139267;Оренбургская область;Оренбургский район;Нежинка;с;9848;2153;51.45.59;055.21.48;51.7663888888889;55.3633333333333;53634434101;0;1
139293;Тюменская область;Исетский район;Минино;с;788;97;56.25.36;065.38.13;56.4266666666667;65.6369444444444;71624440101;0;1
139309;Республика Саха (Якутия);Кобяйский;Себян-Кюель;с;780;304;65.17.19;130.00.29;65.2886111111111;130.008055555556;98624429101;0;1
139313;Республика Башкортостан;Иглинский;Калтыманово;с;525;110;54.42.54;056.24.44;54.715;56.4122222222222;80628420101;0;1
139317;Кемеровская область;Кемеровский;Металлплощадка;п;6791;1424;55.19.13;086.11.43;55.3202777777778;86.1952777777778;32507000311;0;1
139331;Пермский край;Пермский район;Платошино;с;2327;582;57.38.04;056.32.51;57.6344444444444;56.5475;57646443101;0;1
139333;Ростовская область;Мартыновский;Пробуждение;х;511;175;47.18.38;041.50.35;47.3105555555556;41.8430555555556;60630467136;0;1
139336;Курганская область;Щучанский район;Щучье;г;8985;2924;55.12.32;062.44.52;55.2088888888889;62.7477777777778;37644101001;0;1
139342;Удмуртская республика;Воткинский;Перевозное;с;1116;183;56.52.58;053.54.56;56.8827777777778;53.9155555555556;94608445101;0;1
139349;Нижегородская область;Городецкий район;Зиняки;с;1044;206;56.32.25;043.49.38;56.5402777777778;43.8272222222222;22628416101;0;1
139356;Красноярский край;Туруханский район;Зотино;с;544;130;60.53.34;089.41.29;60.8927777777778;89.6913888888889;4654417101;0;1
139360;Свердловская область;муниципальное образование Красноуфимский округ;Ключики;с;652;154;56.41.37;057.42.56;56.6936111111111;57.7155555555556;65713000371;0;1
139363;Республика Татарстан;Бавлинский район;Потапово-Тумбарла;с;726;102;54.21.35;053.10.27;54.3597222222222;53.1741666666667;92614448101;0;1
139392;Алтайский край;Благовещенский;Глядень;с;636;184;52.45.54;080.15.20;52.765;80.2555555555556;1605420101;0;1
139395;Республика Дагестан;Тляратинский район;Ибрагимотар;нп;2271;733;43.33.51;046.28.13;43.5641666666667;46.4702777777778;82651472101;0;1
139410;Республика Крым;Первомайский район;Гришино;с;1755;0;45.38.34;033.49.54;45.6427777777778;33.8316666666667;35635413101;0;1
139418;Московская область;Сергиево-Посадский;Абрамово;д;736;92;56.16.49;038.14.45;56.2802777777778;38.2458333333333;46615458106;0;1
139419;Челябинская область;Миасский;Новотагилка;п;531;89;55.14.54;060.11.15;55.2483333333333;60.1875;75742000166;0;1
139425;Республика Дагестан;Цунтинский район;Бежта;с;4992;2443;42.08.03;046.07.30;42.1341666666667;46.125;82658410101;0;1
139433;Нижегородская область;Арзамасский район;Мотовилово;с;714;150;55.35.07;043.50.32;55.5852777777778;43.8422222222222;22603440141;0;1
139439;Тюменская область;Казанский район;Гагарье;с;530;122;55.44.27;069.13.40;55.7408333333333;69.2277777777778;71630420101;0;1
139457;Республика Татарстан;Тукаевский район;Биклянь;с;1379;263;55.37.20;052.08.31;55.6222222222222;52.1419444444444;92657415101;0;1
139464;Забайкальский край;Красночикойский район;Черемхово;с;611;229;50.34.46;110.09.25;50.5794444444444;110.156944444444;76622475101;0;1
139469;Ростовская область;Красносулинский;Зайцевка;х;570;86;47.59.22;040.30.27;47.9894444444444;40.5075;60626450111;0;1
139471;Забайкальский край;Ононский район;Новый Дурулгуй;с;737;212;50.20.47;114.24.49;50.3463888888889;114.413611111111;76634425101;0;1
139490;Республика Саха (Якутия);Таттинский;Черкех;с;1123;257;62.11.05;133.13.28;62.1847222222222;133.224444444444;98604435101;0;1
139496;Владимирская область;Камешковский;Гатиха;с;687;0;56.12.48;040.51.39;56.2133333333333;40.8608333333333;17625424126;0;1
139511;Астраханская область;Наримановский район;Солянка;с;4628;1322;46.23.13;048.00.11;46.3869444444444;48.0030555555556;12640452101;0;1
139516;Новосибирская область;Тогучинский район;Юрты;с;506;110;54.51.07;084.48.28;54.8519444444444;84.8077777777778;50652428121;0;1
139523;Амурская область;Тамбовский;Косицино;с;688;183;50.03.37;128.01.38;50.0602777777778;128.027222222222;10651456106;0;1
139528;Волгоградская область;Руднянский район;Матышево;с;1342;211;50.49.24;044.11.45;50.8233333333333;44.1958333333333;18647424101;0;1
139530;Новосибирская область;Татарский район;Увальское;с;551;147;55.28.28;075.22.32;55.4744444444444;75.3755555555556;50650440101;0;1
